#PLATFORM	READ_FRAC	Err_TP	Err_FP	Err_FN	Dup_TP	Dup_FP	Dup_FN	Col_TP	Col_FP	Col_FN	Total_FN_FP
HiFi_DC_1.2	0.00	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.05	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.10	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.15	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.20	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.25	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.30	2000	71728	7968	5064140	918202	135876	131509	109400	13859	1257033
HiFi_DC_1.2	0.35	2000	68535	7968	5064140	918202	135876	131509	109400	13859	1253840
HiFi_DC_1.2	0.40	2000	68535	7968	5064140	918202	135876	131509	109400	13859	1253840
HiFi_DC_1.2	0.45	2000	68535	7968	5064140	918202	135876	131509	109400	13859	1253840
HiFi_DC_1.2	0.50	2000	68535	7968	5064140	918202	135876	131509	109400	13859	1253840
HiFi_DC_1.2	0.55	2000	36535	7968	5080140	902202	119876	131509	109400	13859	1189840
HiFi_DC_1.2	0.60	2000	36535	7968	5080140	822202	119876	131509	109400	13859	1109840
HiFi_DC_1.2	0.65	2000	36535	7968	5080140	806202	119876	131509	109400	13859	1093840
HiFi_DC_1.2	0.70	2000	36535	7968	5080140	603220	119876	131509	141400	13859	922858
HiFi_DC_1.2	0.75	2000	36535	7968	5076000	511360	124016	131509	216807	13859	910545
HiFi_DC_1.2	0.80	2000	36535	7968	5076000	447360	124016	131509	232807	13859	862545
HiFi_DC_1.2	0.85	2000	36535	7968	5076000	431360	124016	131509	264807	13859	878545
HiFi_DC_1.2	0.90	2000	36535	7968	4992000	256000	208016	131509	280807	13859	803185
HiFi_DC_1.2	0.95	2000	36535	7968	4952000	160000	248016	131509	293307	13859	759685
HiFi_DC_1.2	1.00	2000	36535	7968	4758000	160000	442016	131509	320479	13859	980857
